id,cluster_id
FKID001494,-1
FKID001495,0
FKID001496,12
FKID001497,139
FKID001498,58
FKID001499,0
FKID001500,0
FKID001501,-1
FKID001502,0
FKID001503,58
FKID001504,58
FKID001505,0
FKID001506,-1
FKID001507,10
FKID001508,-1
FKID001509,26
FKID001510,55
FKID001511,10
FKID001512,12
FKID001513,0
FKID001514,0
FKID001515,4
FKID001516,41
FKID001517,10
FKID001518,115
FKID001519,115
FKID001520,115
FKID001521,0
FKID001522,115
FKID001523,21
FKID001524,12
FKID001525,12
FKID001526,21
FKID001527,0
FKID001528,0
FKID001529,0
FKID001530,0
FKID001531,0
FKID001532,20
FKID001533,0
FKID001534,0
FKID001535,21
FKID001536,110
FKID001537,20
FKID001538,21
FKID001539,7
FKID001540,21
FKID001541,21
FKID001542,20
FKID001543,21
FKID001544,0
FKID001545,0
FKID001546,0
FKID001547,0
FKID001548,0
FKID001549,0
FKID001550,0
FKID001551,80
FKID001552,0
FKID001553,0
FKID001554,7
FKID001555,24
FKID001556,21
FKID001557,21
FKID001558,32
FKID001559,20
FKID001560,21
FKID001561,20
FKID001562,150
FKID001563,21
FKID001564,0
FKID001565,21
FKID001566,7
FKID001567,7
FKID001568,130
FKID001569,-1
FKID001570,-1
FKID001571,4
FKID001572,4
FKID001573,78
FKID001574,20
FKID001575,20
FKID001576,-1
FKID001577,132
FKID001578,7
FKID001579,-1
FKID001580,7
FKID001581,-1
FKID001582,0
FKID001583,0
FKID001584,32
FKID001585,12
FKID001586,12
FKID001587,121
FKID001588,-1
FKID001589,-1
FKID001590,101
FKID001591,-1
FKID001592,90
FKID001593,101
FKID001594,-1
FKID001595,-1
FKID001596,-1
FKID001597,-1
FKID001598,-1
FKID001599,-1
FKID001600,90
FKID001601,-1
FKID001602,-1
FKID001603,0
FKID001604,-1
FKID001605,12
FKID001606,12
FKID001607,71
FKID001608,-1
FKID001609,12
FKID001610,43
FKID001611,109
FKID001612,0
FKID001613,0
FKID001614,0
FKID001615,52
FKID001616,0
FKID001617,0
FKID001618,0
FKID001619,0
FKID001620,0
FKID001621,12
FKID001622,0
FKID001623,4
FKID001624,0
FKID001625,0
FKID001626,0
FKID001627,-1
FKID001628,0
FKID001629,0
FKID001630,12
FKID001631,12
FKID001632,12
FKID001633,-1
FKID001634,21
FKID001635,43
FKID001636,43
FKID001637,-1
FKID001638,-1
FKID001639,-1
FKID001640,12
FKID001641,104
FKID001642,104
FKID001643,43
FKID001644,12
FKID001645,104
FKID001646,21
FKID001647,-1
FKID001648,43
FKID001649,43
FKID001650,43
FKID001651,0
FKID001652,56
FKID001653,104
FKID001654,104
FKID001655,104
FKID001656,56
FKID001657,56
FKID001658,-1
FKID001659,12
FKID001660,104
FKID001661,-1
FKID001662,104
FKID001663,104
FKID001664,12
FKID001665,-1
FKID001666,12
FKID001667,104
FKID001668,132
FKID001669,12
FKID001670,104
FKID001671,104
FKID001672,104
FKID001673,132
FKID001674,21
FKID001675,12
FKID001676,104
FKID001677,104
FKID001678,104
FKID001679,104
FKID001680,-1
FKID001681,12
FKID001682,12
FKID001683,12
FKID001684,-1
FKID001685,12
FKID001686,23
FKID001687,6
FKID001688,13
FKID001689,76
FKID001690,-1
FKID001691,52
FKID001692,0
FKID001693,-1
FKID001694,-1
FKID001695,-1
FKID001696,15
FKID001697,12
FKID001698,-1
FKID001699,12
FKID001700,-1
FKID001701,12
FKID001702,76
FKID001703,76
FKID001704,76
FKID001705,-1
FKID001706,12
